attack_type,common,only_lime,only_c50,overlap_n
Bot,[],"['ACK Flag Count', 'Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Fwd PSH Flags', 'Init Bwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']",['Call'],0
DDoS,[],"['ACK Flag Count', 'Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Avg.Bwd.Segment.Size', 'Avg.Fwd.Segment.Size', 'Avg.Packet.Size', 'Bwd.Packet.Length.Std', 'Fwd.Act.Data.Packets', 'Fwd.Packet.Length.Max', 'Fwd.Packets.Length.Total', 'Init.Fwd.Win.Bytes', 'Total.Backward.Packets', 'URG.Flag.Count']",0
DoS GoldenEye,[],"['Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Fwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Bwd.IAT.Mean', 'Bwd.Packet.Length.Std', 'Flow.IAT.Min', 'Flow.IAT.Std', 'Flow.Packets.s', 'Idle.Mean', 'Init.Bwd.Win.Bytes', 'Init.Fwd.Win.Bytes', 'Total.Backward.Packets', 'URG.Flag.Count']",0
DoS Hulk,[],"['ACK Flag Count', 'ECE Flag Count', 'FIN Flag Count', 'Fwd PSH Flags', 'Idle Max', 'Init Fwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Bwd.Packet.Length.Std', 'Bwd.Packets.Length.Total', 'Bwd.Packets.s', 'FIN.Flag.Count', 'Fwd.Header.Length', 'Fwd.IAT.Mean', 'Fwd.Seg.Size.Min', 'Init.Fwd.Win.Bytes', 'PSH.Flag.Count', 'Total.Backward.Packets']",0
DoS Slowhttptest,[],"['Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Fwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Active.Min', 'Avg.Bwd.Segment.Size', 'Avg.Fwd.Segment.Size', 'Avg.Packet.Size', 'Bwd.IAT.Std', 'Down.Up.Ratio', 'Flow.IAT.Mean', 'Idle.Min', 'PSH.Flag.Count', 'URG.Flag.Count']",0
DoS slowloris,[],"['Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Fwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['ACK.Flag.Count', 'Active.Std', 'Avg.Packet.Size', 'Bwd.IAT.Mean', 'Flow.IAT.Min', 'Flow.IAT.Std', 'Fwd.PSH.Flags', 'Fwd.Packets.s', 'Fwd.Seg.Size.Min', 'Idle.Std']",0
FTP-Patator,[],"['ACK Flag Count', 'Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Avg.Bwd.Segment.Size', 'Avg.Fwd.Segment.Size', 'Bwd.Header.Length', 'CWE.Flag.Count', 'Flow.Duration', 'Fwd.Avg.Bytes.Bulk', 'Fwd.PSH.Flags', 'Fwd.Packet.Length.Mean', 'Fwd.Packets.s', 'Packet.Length.Max']",0
Heartbleed,[],"['ACK Flag Count', 'Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']",['Call'],0
Infiltration,[],"['Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Bwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']",['Call'],0
PortScan,[],"['ACK Flag Count', 'Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Fwd PSH Flags', 'Init Bwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Avg.Bwd.Segment.Size', 'Avg.Fwd.Segment.Size', 'Avg.Packet.Size', 'CWE.Flag.Count', 'Down.Up.Ratio', 'ECE.Flag.Count', 'Fwd.Avg.Packets.Bulk', 'Fwd.Packets.s', 'Init.Bwd.Win.Bytes', 'PSH.Flag.Count']",0
SSH-Patator,[],"['Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Bwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']","['Avg.Bwd.Segment.Size', 'Avg.Fwd.Segment.Size', 'Avg.Packet.Size', 'Bwd.Header.Length', 'Bwd.Packet.Length.Std', 'Bwd.Packets.Length.Total', 'Down.Up.Ratio', 'ECE.Flag.Count', 'Fwd.Avg.Bulk.Rate', 'Fwd.Avg.Bytes.Bulk']",0
Web Attack � Brute Force,[],"['ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Bwd Win Bytes', 'Init Fwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']",['Call'],0
Web Attack � Sql Injection,[],"['ACK Flag Count', 'Bwd IAT Total', 'ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']",['Call'],0
Web Attack � XSS,[],"['ECE Flag Count', 'FIN Flag Count', 'Flow Duration', 'Fwd PSH Flags', 'Init Bwd Win Bytes', 'Init Fwd Win Bytes', 'PSH Flag Count', 'RST Flag Count', 'SYN Flag Count', 'URG Flag Count']",['Call'],0
